,F_val
49,"[('141.183.211.149', 1223), ('223.7.30.181', 1020), ('218.225.83.114', 654), ('30.214.172.153', 625), ('16.206.36.18', 600), ('224.134.46.157', 571), ('244.199.180.7', 518), ('16.183.130.69', 441), ('140.158.138.57', 421), ('140.158.138.39', 362), ('33.189.177.254', 356), ('16.236.65.189', 326), ('52.135.59.95', 309), ('135.214.201.45', 258), ('16.236.65.179', 256), ('156.149.134.77', 252), ('33.216.243.115', 247), ('210.39.47.56', 241), ('140.158.138.53', 213), ('135.214.201.49', 212)]"
50,"[('141.183.211.149', 1274), ('223.7.30.181', 917), ('140.158.138.57', 783), ('16.206.36.18', 735), ('218.225.83.114', 654), ('244.199.180.7', 647), ('16.206.36.135', 573), ('30.214.172.153', 567), ('16.206.36.14', 484), ('16.183.130.69', 441), ('92.82.34.197', 406), ('124.117.15.38', 402), ('140.158.138.39', 362), ('224.134.46.157', 361), ('149.164.124.168', 356), ('135.214.201.50', 336), ('33.216.243.115', 247), ('135.214.201.49', 243), ('197.202.25.99', 236), ('156.149.134.77', 220)]"
51,"[('141.183.211.149', 1183), ('223.7.30.181', 971), ('16.206.36.135', 718), ('244.199.180.7', 660), ('16.206.36.18', 591), ('140.158.138.57', 563), ('140.169.207.45', 545), ('135.214.201.50', 494), ('16.206.36.14', 484), ('112.80.112.66', 401), ('16.236.65.179', 376), ('124.117.15.38', 359), ('16.236.65.189', 344), ('92.82.34.197', 307), ('238.204.218.38', 280), ('224.134.46.157', 271), ('231.23.54.51', 257), ('218.225.246.70', 248), ('16.206.36.1', 226), ('210.39.47.56', 220)]"
52,"[('223.7.30.181', 1021), ('141.183.211.149', 828), ('140.169.207.45', 727), ('244.199.180.7', 675), ('112.80.112.66', 576), ('33.216.243.115', 454), ('30.214.172.153', 451), ('126.67.188.100', 439), ('16.236.65.179', 382), ('140.158.138.57', 381), ('124.117.15.38', 367), ('16.206.36.135', 355), ('16.206.36.18', 350), ('16.183.130.69', 345), ('135.214.201.50', 328), ('33.189.177.254', 299), ('16.236.65.189', 255), ('218.225.246.70', 248), ('238.204.218.38', 246), ('210.39.47.56', 245)]"
53,"[('223.7.30.181', 930), ('141.183.211.149', 894), ('16.206.36.18', 735), ('218.225.246.70', 724), ('126.67.188.100', 695), ('244.199.180.7', 612), ('140.158.138.57', 581), ('33.189.177.254', 525), ('16.206.36.14', 485), ('52.135.59.95', 469), ('33.216.243.115', 447), ('124.117.15.38', 442), ('210.61.102.71', 421), ('16.236.65.169', 376), ('140.158.138.39', 363), ('16.206.36.135', 362), ('30.214.172.153', 348), ('122.24.123.144', 341), ('16.183.130.14', 255), ('231.23.54.51', 252)]"
54,"[('131.174.243.19', 2057), ('141.183.211.149', 980), ('223.7.30.181', 859), ('218.225.246.70', 724), ('16.206.36.18', 634), ('244.199.180.7', 628), ('16.236.65.179', 577), ('75.91.213.22', 515), ('33.216.243.115', 509), ('16.206.36.14', 485), ('52.135.59.95', 469), ('152.155.87.13', 461), ('140.158.138.57', 453), ('16.206.36.135', 403), ('116.247.54.93', 364), ('140.158.138.39', 363), ('126.67.188.100', 355), ('16.236.65.169', 310), ('33.189.177.254', 301), ('135.214.201.50', 290)]"
55,"[('131.174.243.19', 3074), ('223.7.30.181', 906), ('152.155.87.13', 906), ('141.183.211.149', 866), ('126.67.188.100', 658), ('244.199.180.7', 579), ('16.236.65.179', 577), ('52.135.59.95', 510), ('33.216.243.115', 509), ('218.225.246.70', 453), ('75.91.213.22', 450), ('135.214.201.50', 383), ('16.206.36.14', 380), ('116.247.54.93', 365), ('122.24.123.144', 362), ('92.82.34.197', 356), ('196.42.231.196', 313), ('33.189.177.254', 311), ('210.39.47.56', 264), ('16.206.36.135', 251)]"
56,"[('131.174.243.19', 1018), ('52.135.59.95', 1016), ('141.183.211.149', 956), ('223.7.30.181', 950), ('126.67.188.100', 658), ('140.169.207.105', 653), ('152.155.87.13', 588), ('218.225.246.70', 526), ('244.199.180.7', 510), ('196.42.231.196', 405), ('16.206.36.14', 399), ('124.117.15.38', 381), ('16.206.36.18', 376), ('116.247.54.93', 366), ('122.24.123.144', 363), ('16.236.65.169', 355), ('33.189.177.254', 311), ('135.214.201.50', 296), ('231.23.54.51', 273), ('224.134.46.157', 250)]"
57,"[('223.7.30.181', 1033), ('141.183.211.149', 1011), ('251.103.139.209', 715), ('140.169.207.105', 703), ('152.155.87.13', 550), ('244.199.180.7', 545), ('116.247.54.93', 543), ('52.135.59.95', 508), ('196.42.231.196', 484), ('16.206.36.18', 455), ('135.214.201.55', 312), ('33.189.177.254', 310), ('140.169.207.35', 290), ('210.39.47.56', 260), ('156.149.134.77', 252), ('231.23.54.51', 247), ('218.225.246.70', 241), ('135.238.185.13', 240), ('224.134.46.157', 222), ('56.186.123.110', 214)]"
58,"[('141.183.211.149', 1131), ('223.7.30.181', 1008), ('251.103.139.209', 715), ('140.43.223.7', 674), ('140.169.207.105', 674), ('116.247.54.93', 541), ('196.42.231.196', 494), ('152.155.87.13', 407), ('244.199.180.7', 405), ('30.214.172.229', 388), ('122.24.123.144', 342), ('16.236.65.169', 337), ('135.214.201.55', 317), ('16.206.36.46', 315), ('33.189.177.254', 310), ('210.39.47.56', 310), ('140.169.207.35', 290), ('16.206.36.18', 273), ('135.238.185.13', 254), ('135.214.201.50', 252)]"
59,"[('141.183.211.149', 1139), ('223.7.30.181', 1011), ('140.169.207.105', 753), ('140.43.223.7', 658), ('104.53.132.174', 580), ('140.169.207.35', 502), ('251.103.139.209', 451), ('244.199.180.7', 447), ('30.214.172.229', 407), ('149.164.124.168', 375), ('116.247.54.93', 369), ('16.236.65.169', 357), ('16.206.36.46', 353), ('122.24.123.144', 342), ('196.42.231.196', 325), ('135.214.201.55', 316), ('231.23.54.51', 309), ('124.117.15.38', 303), ('33.189.177.254', 280), ('56.186.123.110', 219)]"
60,"[('223.7.30.181', 1052), ('141.183.211.149', 944), ('140.169.207.35', 906), ('218.225.83.191', 647), ('122.24.173.150', 645), ('104.53.132.174', 580), ('16.206.36.135', 555), ('251.103.139.209', 451), ('231.23.54.51', 426), ('33.189.177.254', 362), ('149.164.124.168', 350), ('244.199.180.7', 331), ('135.214.201.55', 311), ('140.43.223.7', 254), ('122.24.123.144', 242), ('135.214.201.44', 217), ('124.117.15.38', 205), ('92.82.34.197', 204), ('149.74.14.17', 192), ('116.247.54.93', 192)]"
61,"[('141.183.211.149', 1144), ('223.7.30.181', 991), ('218.225.83.191', 647), ('122.24.173.150', 645), ('140.43.223.7', 638), ('16.206.36.135', 555), ('104.53.132.174', 505), ('122.24.123.144', 409), ('140.169.207.35', 404), ('116.102.106.18', 368), ('16.236.65.169', 358), ('231.23.54.51', 345), ('124.117.15.38', 321), ('210.39.47.56', 304), ('244.199.180.7', 302), ('251.103.139.209', 285), ('92.82.34.197', 266), ('156.149.134.77', 252), ('16.206.36.18', 243), ('30.214.172.229', 238)]"
62,"[('141.183.211.149', 1134), ('223.7.30.181', 993), ('122.24.173.150', 629), ('33.216.243.114', 607), ('104.53.132.174', 505), ('140.43.223.7', 431), ('244.199.180.7', 425), ('62.195.108.4', 396), ('116.102.106.18', 366), ('231.23.54.51', 340), ('210.39.47.56', 325), ('2.2.180.103', 314), ('16.206.36.46', 294), ('251.103.139.209', 285), ('140.169.207.35', 258), ('30.214.172.229', 257), ('135.214.201.50', 240), ('135.214.201.49', 240), ('135.214.201.65', 231), ('124.117.15.38', 230)]"
63,"[('223.7.30.181', 1044), ('141.183.211.149', 983), ('122.24.173.150', 629), ('116.247.54.250', 570), ('244.199.180.7', 517), ('33.216.243.114', 474), ('112.80.112.66', 450), ('16.206.36.135', 389), ('126.67.188.110', 363), ('231.23.54.51', 361), ('116.102.106.18', 343), ('2.2.180.103', 285), ('62.195.108.4', 269), ('122.24.123.178', 265), ('135.214.201.49', 263), ('140.169.207.35', 258), ('44.84.100.97', 255), ('135.214.201.50', 213), ('223.80.67.9', 178), ('119.142.160.193', 155)]"
64,"[('116.247.54.250', 1201), ('141.183.211.149', 1091), ('223.7.30.181', 1002), ('33.216.243.114', 684), ('112.80.112.66', 507), ('244.199.180.7', 455), ('126.67.188.110', 435), ('44.84.100.97', 417), ('16.206.36.135', 389), ('104.53.132.174', 369), ('116.102.106.18', 359), ('140.169.207.5', 343), ('210.39.47.56', 303), ('141.183.211.189', 293), ('231.23.54.51', 283), ('122.24.123.178', 265), ('135.214.201.55', 254), ('16.206.36.18', 249), ('62.195.108.4', 243), ('135.214.201.49', 236)]"
65,"[('141.183.211.149', 1421), ('223.7.30.181', 969), ('33.216.243.114', 678), ('116.247.54.250', 632), ('244.199.180.7', 450), ('135.214.201.41', 388), ('149.74.14.17', 380), ('104.53.132.174', 369), ('92.82.34.197', 368), ('126.67.188.110', 358), ('210.39.47.56', 349), ('140.169.207.5', 343), ('47.11.60.100', 338), ('231.23.54.51', 317), ('135.214.201.55', 315), ('141.183.211.189', 306), ('124.117.15.38', 273), ('44.84.100.97', 261), ('156.149.134.77', 252), ('62.195.108.4', 224)]"
66,"[('141.183.211.149', 1583), ('223.7.30.181', 1015), ('122.24.123.178', 725), ('126.67.188.110', 649), ('244.199.180.7', 612), ('92.82.34.197', 416), ('44.84.100.97', 414), ('124.117.15.38', 396), ('135.214.201.41', 388), ('47.11.60.100', 362), ('231.23.54.51', 311), ('135.214.201.55', 295), ('44.216.29.175', 277), ('116.247.54.250', 250), ('33.242.250.49', 249), ('149.74.14.17', 218), ('75.91.212.216', 196), ('135.214.201.49', 185), ('224.134.46.157', 184), ('44.72.150.186', 178)]"
67,"[('141.183.211.149', 1120), ('223.7.30.181', 1027), ('122.24.123.178', 725), ('44.84.100.97', 705), ('244.199.180.7', 635), ('47.11.60.100', 475), ('131.174.243.19', 431), ('92.82.34.197', 396), ('126.67.188.110', 363), ('135.214.201.55', 306), ('16.206.36.18', 302), ('33.189.177.254', 291), ('124.117.15.38', 263), ('116.247.54.250', 250), ('33.242.250.49', 249), ('231.23.54.51', 249), ('224.134.46.157', 232), ('149.74.14.17', 232), ('237.42.79.85', 231), ('210.39.47.56', 221)]"
68,"[('223.7.30.181', 960), ('141.183.211.149', 908), ('244.199.180.7', 610), ('218.225.83.191', 607), ('16.206.36.135', 565), ('44.84.100.97', 443), ('33.242.250.49', 435), ('131.174.243.19', 431), ('149.74.14.17', 398), ('210.39.47.56', 376), ('126.67.188.110', 363), ('135.214.201.41', 361), ('52.135.59.93', 352), ('33.182.62.108', 343), ('218.225.83.96', 326), ('33.189.177.254', 291), ('92.82.34.197', 290), ('47.11.60.100', 251), ('210.61.167.125', 248), ('16.183.130.69', 233)]"
69,"[('141.183.211.149', 1515), ('223.7.30.181', 963), ('52.135.59.93', 743), ('218.225.83.191', 607), ('16.206.36.135', 565), ('47.11.60.100', 550), ('244.199.180.7', 516), ('33.242.250.49', 435), ('135.214.201.41', 371), ('126.67.188.110', 363), ('218.225.83.96', 362), ('33.189.177.254', 353), ('140.169.207.5', 343), ('122.24.123.178', 306), ('210.39.47.56', 286), ('101.81.106.52', 262), ('231.23.54.51', 261), ('156.149.134.77', 252), ('16.183.130.69', 233), ('92.82.34.197', 230)]"
70,"[('141.183.211.149', 1329), ('223.7.30.181', 995), ('47.11.60.100', 970), ('140.169.207.5', 465), ('244.199.180.7', 416), ('33.242.250.49', 395), ('52.135.59.93', 391), ('16.206.36.18', 387), ('16.206.36.15', 369), ('124.117.15.38', 360), ('33.189.177.254', 353), ('141.183.211.189', 303), ('135.214.201.41', 302), ('2.2.180.103', 292), ('101.81.106.52', 291), ('231.23.54.51', 253), ('122.24.123.178', 248), ('210.39.47.56', 225), ('210.61.102.68', 221), ('76.84.215.245', 209)]"
71,"[('141.183.211.149', 1008), ('223.7.30.181', 933), ('33.242.250.49', 761), ('47.11.60.100', 724), ('135.214.201.51', 598), ('244.199.180.7', 482), ('52.135.59.93', 462), ('124.117.15.38', 455), ('16.206.36.44', 452), ('116.247.54.126', 426), ('141.183.211.189', 415), ('16.183.130.69', 404), ('210.39.47.56', 402), ('16.206.36.15', 369), ('33.189.177.254', 364), ('16.206.36.135', 358), ('16.206.36.29', 347), ('33.189.177.242', 343), ('2.2.180.103', 257), ('56.186.123.110', 229)]"
72,"[('141.183.211.149', 1183), ('223.7.30.181', 990), ('52.135.59.93', 861), ('16.236.65.170', 683), ('47.11.60.100', 678), ('135.214.201.51', 598), ('116.247.54.126', 500), ('16.206.36.135', 483), ('16.206.36.44', 453), ('244.199.180.7', 418), ('33.189.177.254', 389), ('33.242.250.49', 366), ('16.183.130.69', 334), ('210.39.47.56', 319), ('56.186.123.110', 302), ('101.81.106.52', 290), ('124.117.15.38', 277), ('231.23.54.51', 263), ('16.206.36.18', 262), ('127.242.36.18', 246)]"
73,"[('223.7.30.181', 1011), ('141.183.211.149', 876), ('116.247.54.126', 568), ('16.236.65.170', 529), ('47.11.60.100', 526), ('16.206.36.18', 473), ('112.80.112.66', 439), ('16.183.130.69', 430), ('33.189.177.242', 415), ('52.135.59.93', 399), ('140.169.207.5', 343), ('33.189.177.254', 320), ('244.199.180.7', 318), ('101.81.106.52', 290), ('231.23.54.51', 283), ('116.102.106.18', 260), ('156.149.134.77', 252), ('210.39.47.56', 250), ('127.242.36.18', 246), ('56.186.123.110', 239)]"
74,"[('223.7.30.181', 926), ('141.183.211.149', 673), ('116.247.54.126', 596), ('16.206.36.44', 542), ('16.206.36.135', 528), ('140.169.207.5', 522), ('112.80.112.66', 493), ('33.189.177.254', 485), ('16.183.130.69', 468), ('33.189.177.242', 420), ('124.117.15.38', 362), ('140.242.176.141', 359), ('16.236.65.170', 347), ('244.199.180.7', 327), ('210.39.47.56', 319), ('16.206.36.18', 279), ('30.214.172.229', 271), ('116.102.106.18', 260), ('135.214.201.55', 254), ('141.183.211.189', 252)]"
75,"[('141.183.211.149', 1225), ('223.7.30.181', 939), ('140.43.223.7', 691), ('16.236.65.170', 659), ('16.206.36.135', 528), ('140.242.176.141', 524), ('16.206.36.44', 469), ('33.189.177.242', 453), ('149.164.124.168', 373), ('21.68.193.35', 329), ('141.183.211.189', 318), ('16.206.36.18', 305), ('211.38.129.32', 303), ('210.39.47.56', 301), ('116.247.54.126', 286), ('135.214.201.55', 284), ('33.189.177.254', 276), ('231.23.54.51', 262), ('244.199.180.7', 257), ('124.117.15.38', 256)]"
76,"[('141.183.211.149', 1651), ('223.7.30.181', 1014), ('140.43.223.7', 691), ('33.189.177.242', 510), ('16.206.36.44', 429), ('47.11.60.100', 315), ('16.236.65.170', 312), ('231.23.54.51', 297), ('101.81.106.52', 290), ('16.206.36.18', 286), ('16.183.130.69', 286), ('210.39.47.56', 280), ('244.199.180.7', 279), ('149.74.8.143', 253), ('140.242.176.141', 246), ('141.183.211.189', 236), ('7.234.97.176', 221), ('211.38.129.32', 220), ('135.214.201.55', 220), ('140.158.138.53', 195)]"
77,"[('141.183.211.149', 1227), ('223.7.30.181', 1029), ('122.24.173.150', 659), ('47.11.60.100', 435), ('208.181.140.212', 432), ('16.206.36.44', 429), ('52.135.59.93', 400), ('101.81.106.52', 387), ('7.234.97.176', 362), ('30.214.172.229', 302), ('231.23.54.51', 301), ('135.214.201.44', 273), ('33.189.177.242', 261), ('156.149.134.77', 252), ('210.39.47.56', 238), ('244.199.180.7', 235), ('149.74.8.143', 222), ('140.158.138.53', 198), ('131.3.116.139', 186), ('76.84.179.115', 184)]"
78,"[('141.183.211.149', 1079), ('223.7.30.181', 1007), ('52.135.59.93', 887), ('122.24.173.150', 659), ('44.84.100.97', 640), ('140.43.223.7', 526), ('7.234.97.176', 358), ('208.181.140.212', 333), ('44.84.85.50', 330), ('30.214.172.229', 316), ('231.23.54.51', 295), ('47.11.60.100', 294), ('135.214.201.44', 281), ('101.81.106.52', 254), ('33.189.177.242', 253), ('149.74.8.143', 224), ('210.39.47.56', 209), ('210.61.167.104', 205), ('130.78.58.136', 200), ('21.68.193.35', 194)]"
79,"[('141.183.211.149', 1467), ('223.7.30.181', 1051), ('52.135.59.93', 943), ('44.84.100.97', 573), ('208.181.140.212', 436), ('44.84.85.50', 423), ('140.43.223.7', 409), ('130.78.58.136', 351), ('231.23.54.51', 300), ('7.234.97.176', 285), ('124.117.15.38', 273), ('210.61.167.104', 270), ('47.122.174.92', 244), ('135.214.201.44', 230), ('244.199.180.7', 221), ('63.162.56.28', 200), ('149.74.8.143', 200), ('135.214.201.50', 194), ('47.11.60.100', 187), ('210.39.47.56', 175)]"
80,"[('141.183.211.149', 1653), ('223.7.30.181', 1006), ('52.135.59.93', 647), ('208.181.140.212', 533), ('122.24.173.150', 529), ('231.23.54.51', 292), ('210.61.167.104', 267), ('210.61.167.125', 265), ('44.84.85.50', 249), ('30.214.172.153', 238), ('135.214.201.44', 237), ('140.43.223.7', 235), ('244.199.180.7', 234), ('135.214.201.51', 233), ('156.149.134.77', 220), ('44.84.100.97', 208), ('140.158.138.53', 198), ('210.61.166.249', 187), ('44.85.112.194', 179), ('223.80.67.9', 178)]"
81,"[('141.183.211.149', 1070), ('223.7.30.181', 980), ('122.24.173.150', 529), ('208.181.140.212', 460), ('52.135.59.93', 421), ('244.199.180.7', 314), ('149.164.124.168', 290), ('231.23.54.51', 262), ('30.214.172.153', 256), ('156.149.134.77', 244), ('210.61.167.104', 236), ('140.43.223.7', 235), ('135.214.201.51', 233), ('135.238.185.13', 224), ('129.107.151.58', 216), ('238.41.185.152', 194), ('30.214.173.31', 188), ('147.253.192.77', 182), ('116.247.54.93', 182), ('210.39.47.56', 178)]"
82,"[('223.7.30.181', 1045), ('141.183.211.149', 794), ('208.181.140.212', 606), ('116.247.54.93', 362), ('149.164.124.168', 345), ('135.238.185.13', 274), ('244.199.180.7', 270), ('52.135.59.93', 247), ('141.183.211.189', 236), ('231.23.54.51', 223), ('63.162.56.28', 218), ('244.199.2.62', 218), ('47.11.60.100', 210), ('44.85.114.121', 209), ('131.174.243.19', 206), ('75.91.212.228', 196), ('238.41.185.152', 190), ('147.253.192.77', 190), ('124.117.15.38', 182), ('223.80.67.9', 178)]"
83,"[('141.183.211.149', 1074), ('223.7.30.181', 989), ('208.181.140.212', 579), ('122.24.159.98', 432), ('16.12.80.195', 387), ('33.189.177.242', 382), ('116.247.54.93', 365), ('210.61.102.31', 304), ('210.39.47.56', 276), ('56.186.123.110', 274), ('231.23.54.51', 254), ('131.174.243.19', 222), ('211.38.129.32', 214), ('75.91.212.228', 209), ('44.85.114.121', 209), ('140.158.138.53', 200), ('124.117.15.38', 199), ('244.199.180.7', 193), ('47.11.60.100', 191), ('237.42.93.36', 183)]"
84,"[('141.183.211.149', 990), ('223.7.30.181', 920), ('104.53.132.173', 616), ('208.181.140.212', 580), ('16.12.80.195', 440), ('122.24.159.98', 432), ('218.225.234.70', 403), ('116.247.54.93', 369), ('30.214.172.153', 337), ('210.61.102.31', 298), ('244.199.180.7', 270), ('33.189.177.242', 256), ('30.214.172.229', 256), ('210.39.47.56', 255), ('156.149.134.77', 252), ('124.117.15.38', 248), ('231.23.54.51', 244), ('140.158.138.53', 205), ('56.186.123.110', 183), ('63.162.56.28', 179)]"
85,"[('141.183.211.149', 1255), ('223.7.30.181', 893), ('122.24.159.98', 882), ('16.236.65.179', 769), ('218.225.83.191', 661), ('104.53.132.173', 616), ('208.181.140.212', 528), ('218.225.234.70', 523), ('33.189.177.242', 480), ('124.117.15.38', 453), ('131.174.243.19', 433), ('116.247.54.93', 374), ('116.102.106.18', 368), ('30.214.172.229', 304), ('231.23.54.51', 274), ('135.214.201.45', 237), ('30.214.172.153', 217), ('112.80.112.66', 203), ('210.61.167.104', 201), ('244.199.180.7', 183)]"
86,"[('141.183.211.149', 1283), ('16.236.65.179', 1098), ('122.24.159.98', 1012), ('223.7.30.181', 940), ('131.174.243.19', 695), ('218.225.83.191', 661), ('112.80.112.66', 602), ('208.181.140.212', 533), ('33.189.177.242', 478), ('224.134.233.62', 435), ('122.24.123.140', 363), ('116.247.54.93', 360), ('231.23.54.51', 301), ('124.117.15.38', 273), ('126.67.188.100', 269), ('244.199.180.7', 268), ('104.53.132.161', 260), ('30.214.172.153', 242), ('135.214.201.45', 237), ('210.61.167.104', 205)]"
87,"[('223.7.30.181', 1003), ('141.183.211.149', 657), ('16.236.65.179', 632), ('208.181.140.212', 571), ('33.189.177.242', 546), ('116.247.54.93', 486), ('224.134.233.62', 485), ('30.214.172.153', 470), ('124.37.53.39', 447), ('104.53.132.173', 400), ('112.80.112.66', 399), ('116.102.106.18', 361), ('196.92.76.209', 308), ('244.199.180.7', 300), ('149.164.124.168', 283), ('122.24.123.140', 282), ('131.174.243.19', 276), ('126.67.188.100', 269), ('104.53.132.161', 260), ('135.214.201.49', 236)]"
88,"[('33.189.177.242', 1003), ('223.7.30.181', 1001), ('126.67.188.100', 725), ('208.181.140.212', 555), ('141.183.211.149', 522), ('16.206.36.12', 491), ('224.134.233.62', 462), ('124.37.53.39', 447), ('30.214.172.153', 425), ('16.236.65.179', 401), ('104.53.132.173', 400), ('75.91.213.61', 399), ('116.247.54.93', 365), ('116.102.106.18', 361), ('196.92.76.209', 308), ('16.236.65.195', 281), ('244.199.180.7', 256), ('156.149.134.77', 252), ('231.23.54.51', 238), ('135.214.201.49', 236)]"
89,"[('126.67.188.100', 1184), ('223.7.30.181', 928), ('33.189.177.242', 688), ('141.183.211.149', 664), ('33.216.243.111', 632), ('33.216.243.115', 559), ('16.206.36.12', 530), ('104.53.132.173', 429), ('16.206.36.145', 421), ('224.134.233.62', 379), ('16.236.65.195', 354), ('122.24.123.140', 350), ('244.199.180.7', 320), ('116.102.106.18', 309), ('224.134.46.157', 277), ('208.181.140.212', 261), ('104.53.132.144', 247), ('231.23.54.51', 237), ('218.225.83.114', 237), ('104.53.132.161', 234)]"
90,"[('223.7.30.181', 958), ('141.183.211.149', 830), ('124.37.53.39', 810), ('16.206.36.19', 687), ('218.225.83.191', 606), ('33.216.243.115', 559), ('16.206.36.145', 536), ('126.67.188.100', 459), ('152.155.87.13', 433), ('33.216.243.111', 432), ('104.53.132.173', 429), ('33.189.177.242', 397), ('224.134.46.157', 384), ('122.24.123.140', 362), ('116.102.106.18', 309), ('244.199.180.7', 292), ('210.61.102.31', 286), ('135.238.185.13', 264), ('231.23.54.51', 263), ('16.206.36.57', 253)]"
91,"[('223.7.30.181', 1042), ('141.183.211.149', 1040), ('124.37.53.39', 810), ('16.206.36.19', 686), ('218.225.83.191', 606), ('33.189.177.242', 547), ('16.206.36.12', 501), ('224.134.46.157', 488), ('210.61.102.31', 472), ('152.155.87.13', 433), ('218.225.83.114', 420), ('16.236.65.195', 356), ('135.238.185.13', 282), ('231.23.54.51', 278), ('244.199.180.7', 277), ('16.183.130.14', 276), ('140.169.207.45', 258), ('30.214.172.153', 255), ('33.216.243.111', 247), ('135.214.201.49', 234)]"
92,"[('141.183.211.149', 1208), ('223.7.30.181', 967), ('224.134.46.157', 630), ('122.24.173.150', 620), ('152.155.87.13', 574), ('33.216.243.111', 546), ('16.206.36.12', 501), ('16.206.36.14', 487), ('16.206.36.145', 457), ('33.216.243.115', 444), ('104.53.132.144', 428), ('218.225.83.114', 420), ('33.189.177.242', 381), ('16.236.65.195', 316), ('135.238.185.13', 312), ('217.227.176.220', 300), ('47.122.174.92', 289), ('141.183.211.166', 279), ('16.183.130.14', 276), ('244.199.180.7', 255)]"
93,"[('141.183.211.149', 1039), ('223.7.30.181', 936), ('140.169.207.51', 717), ('152.155.87.13', 683), ('140.43.223.7', 634), ('122.24.173.150', 620), ('16.206.36.145', 541), ('224.134.46.157', 526), ('16.206.36.14', 486), ('33.216.243.115', 444), ('104.53.132.144', 428), ('33.189.177.242', 359), ('211.38.129.32', 347), ('122.24.123.140', 320), ('217.227.176.220', 304), ('16.183.130.14', 304), ('33.216.243.111', 299), ('141.183.211.166', 294), ('47.122.174.92', 293), ('244.199.180.7', 293)]"
94,"[('140.169.207.51', 1437), ('223.7.30.181', 984), ('224.134.46.157', 758), ('140.43.223.7', 723), ('141.183.211.149', 700), ('16.206.36.12', 498), ('140.169.207.45', 461), ('152.155.87.13', 448), ('16.206.36.145', 393), ('231.23.54.51', 378), ('244.199.180.7', 366), ('33.189.177.242', 359), ('16.236.65.195', 345), ('16.183.130.14', 304), ('116.102.106.18', 301), ('211.38.129.32', 300), ('238.41.90.103', 249), ('104.53.132.144', 248), ('16.206.36.51', 240), ('135.214.201.49', 239)]"
95,"[('223.7.30.181', 1009), ('224.134.46.157', 737), ('140.169.207.51', 720), ('141.183.211.149', 632), ('122.24.173.150', 632), ('16.206.36.145', 580), ('33.216.243.115', 447), ('231.23.54.51', 447), ('244.199.180.7', 411), ('16.206.36.14', 399), ('16.206.36.59', 397), ('16.206.36.12', 365), ('140.169.207.114', 354), ('152.155.87.13', 339), ('140.169.207.45', 337), ('141.183.211.166', 324), ('135.214.201.44', 307), ('116.102.106.18', 301), ('16.236.65.195', 279), ('122.24.123.140', 277)]"
96,"[('223.7.30.181', 1019), ('141.183.211.149', 697), ('122.24.173.150', 632), ('148.27.137.16', 620), ('140.169.199.186', 567), ('224.134.46.157', 517), ('16.206.36.145', 508), ('140.43.223.7', 486), ('244.199.180.7', 448), ('33.216.243.115', 447), ('16.206.36.14', 399), ('16.206.36.59', 397), ('141.183.211.166', 389), ('44.200.215.4', 361), ('140.169.207.114', 354), ('231.23.54.51', 351), ('140.169.207.45', 319), ('135.214.201.44', 317), ('16.183.130.14', 305), ('16.236.65.195', 273)]"
97,"[('223.7.30.181', 1026), ('141.183.211.149', 651), ('140.169.199.186', 641), ('148.27.137.16', 620), ('126.67.188.102', 546), ('104.53.132.144', 523), ('140.169.207.45', 515), ('16.206.36.145', 511), ('140.43.223.7', 487), ('224.134.46.157', 475), ('244.199.180.7', 394), ('16.236.65.170', 370), ('16.236.65.195', 318), ('16.183.130.14', 305), ('231.23.54.51', 297), ('16.206.36.51', 292), ('238.41.90.103', 290), ('16.206.36.57', 239), ('33.216.243.82', 221), ('44.200.215.4', 215)]"
98,"[('223.7.30.181', 1010), ('126.67.188.102', 716), ('141.183.211.149', 644), ('218.225.83.191', 621), ('104.53.132.144', 523), ('16.206.36.14', 480), ('16.206.36.145', 469), ('16.206.36.59', 383), ('16.236.65.170', 370), ('224.134.46.157', 337), ('231.23.54.51', 326), ('44.11.241.67', 311), ('244.199.180.7', 311), ('16.183.130.14', 306), ('140.169.207.5', 298), ('44.222.125.60', 292), ('140.169.207.45', 277), ('44.3.94.174', 272), ('135.214.201.65', 255), ('135.214.201.49', 249)]"
